longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
EconLit with Full Text,eoh,2212889,"Breathing in Pollution, Breathing out Efficiency: How Does Air Pollution Affect Labour Productivity in China's Service Sector?","This paper examines the impact of air pollution on labour productivity in the service industry in China. Utilizing the Chinese National Tax Survey Database and the contemporaneous air pollution data for 2007-2016, we employ an instrumental variable method and find that the average labour productivity for service firms decreases by 2.11% for every 1ug/m3 increase in PM2.5 concentration. The influence is more pronounced among producer services firms, non-state-owned firms, small-scale firms, and firms located in less environmentally regulated regions, northern regions, central and western regions, and coastal regions. The detrimental effect of air pollution increases as air quality worsens. Additionally, a 1ug/m3 increase in PM2.5 concentration leads to a significant 2.83% increase in overall labour costs, which squeezes out firms' capital investment and distorts their factor structure. This paper contributes to the literature by providing new evidence on adverse impact of air pollution on labour productivity in the service sector.",20251201,"Jiang, Lei ; Chen, Yanzhu ; Liu, Xinrui ; Wu, Qingyang ; Lyu, Xueying",Journal Article,Journal Article,December 2025,true,Applied Economics,"Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Economic Development: Human Resources; Human Development; Income Distribution; Migration ; Socialist and Transitional Economies: Natural Resources; Energy; Environment ; Socialist Institutions and Their Transitions: Consumer Economics; Health; Education and Training: Welfare, Income, Wealth, and Poverty ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,0003-6846 ; 1466-4283,,,,,eng,Taylor & Francis Ltd,9949,9932,18,57,58,10.1080/00036846.2024.2424501,,,,https://research.ebsco.com/plink/2a39608a-9911-3fb7-8ec6-3818b4bee50b,,,,
EconLit with Full Text,eoh,2221950,Vog: Using Volcanic Eruptions to Estimate the Impact of Air Pollution on Student Test Scores,We pair variation stemming from volcanic eruptions with the census of Hawaii's public schools' student test scores to estimate the impact of PM2.5 and SO2 on student performance. Increased particulate pollution decreases test scores. These results are concentrated among schools with the highest long-term average levels of pollution. The effects of PM2.5 are larger for the poorest pupils by a factor of at least three. We demonstrate that poor air quality disproportionately impacts the human capital accumulation of economically disadvantaged children.,20260201,"Inafuku, Rachel ; Halliday, Timothy J. ; Lusher, Lester ; de Paula, Aureo",Journal Article,Journal Article,February 2026,true,Oxford Bulletin of Economics & Statistics,Analysis of Education ; Returns to Education ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,JOUR,,,0305-9049 ; 1468-0084,,,,,eng,Wiley-Blackwell,140,113,28,88,1,,,,,https://research.ebsco.com/plink/27994049-3530-30c5-8283-59bd39b23813,,,,
EconLit with Full Text,eoh,2210743,Facilitating or Inhibiting: Coal-Fired Power Generation and Firm Productivity in China,"The study investigates the causal impact of opening coal-fired power plants on firm productivity, utilizing data on the distribution of these plants and firm-level microdata in China from 1998 to 2014. The research design relies on a difference-in-differences strategy to compare productivity differences between firms located near and far away from coal-fired power plants before and after their opening. The results show that the opening of coal-fired power plants reduced the total factor productivity of surrounding firms by 7.8% on average. By exploring its mechanism, we found that this negative effect is mainly due to serious air pollution caused by the opening of coal-fired power plants. For every 1% increase in sulphur dioxide emitted by a coal-fired power plant, the TFP of surrounding firms decreases by 0.42%. Further analysis shows that coal-fired power plants have a greater negative impact on total factor productivity of private firms, small firms, and regions with lower environmental regulation intensity. This study deepens the understanding of the negative externalities of energy infrastructure and resource utilization, and emphasizes the importance of energy transition.",20250801,"Lin, Tao ; Chen, Zhao ; Qi, Minhao ; Wei, Sijie",Journal Article,Journal Article,August 2025,true,Applied Economics,"Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity ; Firm Performance: Size, Diversification, and Scope ; Electric Utilities ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Socialist and Transitional Economies: Natural Resources; Energy; Environment ; Socialist Enterprises and Their Transitions ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,0003-6846 ; 1466-4283,,,,,eng,Taylor & Francis Ltd,6217,6201,17,57,40,10.1080/00036846.2024.2382386,,,,https://research.ebsco.com/plink/897137a6-0b0d-3d92-97a5-7ec36b3452f1,,,,
EconLit with Full Text,eoh,2210849,Effects of the Inflation Reduction Act on PM2.5: Empirical Evidence from the U.S.,"Environmental issues represent the most significant market failure witnessed by the global community. Ranking as the second-largest contributor to greenhouse gas emissions globally, the U.S. is responsible for addressing and finding solutions to these issues actively. However, throughout its history, the U.S. Congress has witnessed the failure of numerous bills intended to address environmental issues to secure passage. The Inflation Reduction Act (IRA), enacted on 16 August 2022, is a significant climate legislation in U.S. history, backed by over $369 billion in funding. To uncover the causal effect, we apply a difference-in-differences (DiD) methodology, and our study finds that the IRA causes a substitution effect from traditional fuel to clean energy, causing a decrease in PM2.5 pollution. The robustness test estimations further confirm our findings. We find two complementary mechanisms: the demand effect and the quality effect. Finally, our study suggests that the IRA has a positive spillover impact on employment and contributes to reducing inflation.",20251001,"Zhou, Jinghong ; Wu, Yiping ; Li, Jiakun",Journal Article,Journal Article,October 2025,true,Applied Economics,"Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Price Level; Inflation; Deflation ; Climate; Natural Disasters and Their Management; Global Warming ; Environmental Economics: Government Policy",JOUR,,,0003-6846 ; 1466-4283,,,,,eng,Taylor & Francis Ltd,7999,7980,20,57,48,10.1080/00036846.2024.2394699,,,,https://research.ebsco.com/plink/b4aab158-a83f-3bf6-b688-0f9afd0ede44,,,,
EconLit with Full Text,eoh,2167129,"Air Pollution, Weather, and Agricultural Worker Productivity","Outdoor agricultural workers often work in harsh environmental conditions, including high temperatures and poor air quality. This paper studies how these factors impact worker productivity, which can have implications for worker health, well-being, and income as well as farm payroll, production, and profitability. Our analysis uses 6 years of payroll records of harvesters on two large farms combined with pollution and weather monitor data from multiple sources. We address simultaneity issues by exploring pollution measurements from nearby upwind and downwind monitors and incorporating an alternative PM2.5 measure that better captures ambient or regional concentration. Across all specifications, results suggest that heightened concentrations of ground-level ozone and PM2.5 are associated with reduced productivity. In our main specification, we find that one standard deviation increases in ozone and PM2.5 are associated with reductions in productivity of 2% and 1.1%, respectively.",20240801,"Hill, Alexandra E. ; Burkhardt, Jesse ; Bayham, Jude ; O'Dell, Katelyn ; Ford, Bonne ; Fischer, Emily V. ; Pierce, Jeffrey R.",Journal Article,Journal Article,August 2024,true,American Journal of Agricultural Economics,"Health Behavior ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Agricultural Labor Markets ; Firm Performance: Size, Diversification, and Scope ; Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,0002-9092 ; 1467-8276,,,,,eng,Wiley-Blackwell,1353,1329,25,106,4,,,,,https://research.ebsco.com/plink/05280bc5-5afd-39b7-a402-7e28616afa7c,,,,
EconLit with Full Text,eoh,2155030,Air Pollution and Adult Cognition: Evidence from Brain Training,"We exploit novel data from brain-training games to examine the impacts of air pollution on a comprehensive set of cognitive skills in adults. We find that exposure to particulate matter (PM2.5) impairs adult cognitive function and that these effects are largest for those in prime working age. These results confirm a hypothesized mechanism for the impacts of air pollution on workforce productivity. We also find that the cognitive effects are largest for new tasks and for those with low ability, suggesting that air pollution increases inequality in productivity.",20250101,"La Nauze, Andrea ; Severnini, Edson",Journal Article,Journal Article,January 2025,true,Journal of the Association of Environmental and Resource Economists,"Equity, Justice, Inequality, and Other Normative Criteria and Measurement ; Labor Force and Employment, Size, and Structure ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,2333-5955 ; 2333-5963,,,,,eng,University of Chicago Press,255,221,35,12,1,,,,,https://research.ebsco.com/plink/c6a74ac5-b610-3d75-8dac-839901c7b4a6,,,,
EconLit with Full Text,eoh,2210072,Industrial Robots and Environmental Pollution: Evidence from Chinese Cities,"We analysed the impact of industrial robots on Chinese cities' environment during 2006-2018, using data on pollution emissions and the stock of industrial robots. Urban usage of industrial robots is linked to reduced environmental pollution emissions. This effect is stronger in cities with pilot emission rights, in cities located in SO2 pollution control zones and in larger metropolitan areas with a population of more than 1 million. Industrial robots help reduce urban pollution emissions by substituting labour, increasing productivity, encouraging green technology innovation and transitioning toward efficient energy consumption. Combining industrial robots and policies in China can incentivize enterprises to reduce environmental pollution and foster balanced economic and environmental development.",20250401,"Lu, Wenjuan ; Mao, Shenya ; Qiu, Xinfeng ; Yan, Chenjing",Journal Article,Journal Article,April 2025,true,Journal of International Development,Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Socialist and Transitional Economies: Natural Resources; Energy; Environment ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Climate; Natural Disasters and Their Management; Global Warming,JOUR,,,0954-1748 ; 1099-1328,,,,,eng,Wiley-Blackwell,833,820,14,37,3,,,,,https://research.ebsco.com/plink/d0bf5452-b166-3baa-9cce-218e033d0449,,,,
EconLit with Full Text,eoh,2205922,More than Particulates Matter: Multiple Pollutants and Productivity in Indian Call Centers,"We measure the impact of three components of air pollution on daily labor productivity in call centers in five Indian cities. We find that a one standard deviation increase in fine particulate matter (PM_{2.5}), a pollutant that has been the primary focus of the literature on the harms of air pollution, has a large negative effect of 0.15 sigma on an index of intensive margin productivity. Notably, we find a comparable negative effect for a one standard deviation increase in carbon monoxide (CO) of 0.14 sigma as well as a negative effect of 0.09 sigma from ozone (O_{3}). For one of our main productivity variables, the number of calls per shift, one standard deviation increases in PM_{2.5}, CO and O_{3} lead to declines relative to the mean of 11.8%, 10.6% and 6.0%, respectively. In summing air pollution harms across our sample, CO is responsible for more than half of the total productivity lost, which is more than double the losses attributable to PM_{2.5}. We then illustrate the potential productivity impacts of an existing national policy in India that targets PM_{2.5} compared to a counterfactual policy that also targets CO and O_{3}.",20251101,"Batheja, Deepshikha ; Hirshleifer, Sarojini ; Mullins, Jamie T.",Journal Article,Journal Article,November 2025,true,Journal of Environmental Economics and Management,Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Economic Development: Human Resources; Human Development; Income Distribution; Migration ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environmental Economics: Government Policy,JOUR,,,0095-0696,,,,,eng,,,,,134,,10.1016/j.jeem.2025.103181,,,,https://research.ebsco.com/plink/a340c7d9-d96d-3a33-9e14-39d5d2c8443c,,,,
EconLit with Full Text,eoh,2152522,The Productivity Consequences of Pollution-Induced Migration in China,"We quantify how pollution affects aggregate productivity and welfare in spatial equilibrium. We show that skilled workers in China emigrate away from polluted cities. These patterns are evident under various empirical specifications, such as when instrumenting for pollution using upwind power plants, or thermal inversions. Pollution changes the spatial distribution of skilled and unskilled workers, and wage returns by location. We quantify the loss in aggregate productivity due to this re-sorting by estimating a spatial equilibrium model. Counterfactual simulations show that reducing pollution increases productivity through spatial re-sorting by approximately as much as the direct health benefits of clean air.",20250401,"Khanna, Gaurav ; Liang, Wenquan ; Mobarak, Ahmed Mushfiq ; Song, Ran",Journal Article,Journal Article,April 2025,true,American Economic Journal: Applied Economics,"Human Capital; Skills; Occupational Choice; Labor Productivity ; Wage Level and Structure; Wage Differentials ; Geographic Labor Mobility; Immigrant Workers ; Socialist and Transitional Economies: Urban, Rural, and Regional Economics ; Socialist and Transitional Economies: Natural Resources; Energy; Environment ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics",JOUR,,,1945-7782 ; 1945-7790,,,,,eng,American Economic Association,224,184,41,17,2,10.1257/app.20220655,,,,https://research.ebsco.com/plink/f9c4f835-ff51-3c32-be02-91851568e10a,,,,
EconLit with Full Text,eoh,2207896,How a Nation's Well-Being Influences Its Health Profile: An Analysis of Critical Indicators,"This study examines the impact of macroeconomic well-being indicators--GDP, health spending as a percentage of GDP, and the unemployment rate--on the prevalence of chronic diseases, including circulatory and respiratory diseases and diabetes mellitus, across 27 European Union countries over 21 years. Utilizing advanced econometric methods like General Method of Moments, Structural Equation Modeling, and wavelet coherence analysis, the research reveals that higher GDP correlates with increased disease prevalence, while greater health spending reduces it. The unemployment rate significantly affects diabetes prevalence. The study introduces the ""Economic Prosperity and Chronic Disease Paradox,"" theory, which suggests that economic growth, while improving healthcare access and living standards, paradoxically increases chronic disease rates due to lifestyle changes such as unhealthy diets, sedentary behavior, and pollution. This theory highlights the need for strategic public health policies to counteract these adverse effects and promote sustainable health outcomes amidst economic development.",20251101,"Iuga, Iulia Cristina ; Nerisanu, Raluca Andreea ; Iuga, Horia",Journal Article,Journal Article,November 2025,true,European Journal of Health Economics,Macroeconomics: Production ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; National Government Expenditures and Health ; Analysis of Health Care Markets ; Health Behavior ; Health and Economic Development,JOUR,,,1618-7598 ; 1618-7601,,,,,eng,Springer Nature,1457,1439,19,26,8,10.1007/s10198-025-01777-4,,,,https://research.ebsco.com/plink/e29f44fd-dea5-325c-bb58-2cf243aeb39a,,,,
